Trait	Abbreviation	dx	dy	n_tot	n_informative	recent_pmid	recent_year	recent_size	recent_nsignif	size_tau	size_se	size_pval	nsignif_tau	nsignif_se	nsignif_pval	taudiff_z	taudiff_p	taudiff_str
Age-related macular degeneration	Macular degeneration	0	0	11	5	23455636	2013.169863	9495.600433	19	1.237216055	0.096559831	0.001025844	1.849674918	0.124769324	0.000665947	-3.881987518	0.000103606	saturating
Alzheimer's disease	AD	0	0	19	10	30636644	2019.032877	9244.759497	54	3.147538925	1.149177571	0.025490611	2.194374059	0.26634646	3.53E-05	0.808013639	0.41908273	tie
Alzheimer's disease (late onset)	AD-late	0	0	12	6	30617256	2019.019178	67025.43665	22	1.697046554	0.39936323	0.013164571	2.406089126	0.503827147	0.008803705	-1.102865078	0.270085762	tie
Amyotrophic lateral sclerosis	ALS	0	0	12	5	29566793	2018.219178	61743.30847	6	2.192062191	0.331634226	0.007050414	4.655084081	1.206725335	0.030782154	-1.968109222	0.049055472	saturating
Asthma	Asthma	0	0	21	9	32296059	2020.287671	295550.4496	312	1.673931694	0.248856642	0.000270775	1.649125314	0.170586028	2.67E-05	0.082219149	0.934472447	tie
Asthma (childhood onset)	Asthma-child	-0.1	0.1	7	6	31669095	2019.813699	51964.3984	219	1.062559183	0.145853178	0.001886807	1.287712825	0.352354816	0.021683452	-0.590413605	0.554913392	tie
Atrial fibrillation	Fibrillation	0	0	10	6	29892015	2018.443836	232656.1405	213	2.396630181	0.814576283	0.042297199	1.469959909	0.161084369	0.000800111	1.115998332	0.264422849	tie
Basal cell carcinoma	SKCM	0	0	9	6	31174203	2019.432877	120940.9387	71	1.755701624	0.466533245	0.019718561	1.949452848	0.160157915	0.000261457	-0.39279865	0.694468202	tie
Bipolar disorder	Bipolar	0	0	13	10	31043756	2019.331507	49367.47368	32	2.854622252	0.643129582	0.002171867	2.647944849	0.307652479	2.57E-05	0.289899583	0.771893061	tie
Birth weight	Birth weight	0	0	7	4	31043758	2019.331507	321223	213	1.802118375	0.069492655	0.001483692	1.333705925	0.025342584	0.000360866	6.332514541	2.41E-10	discovering
Body mass index	BMI	0	0	38	8	31669095	2019.813699	457822	1636	2.612356945	0.533628703	0.002723345	1.286340479	0.126105142	5.17E-05	2.418296649	0.015593359	discovering
Breast cancer	BRCA	0	0	28	5	29059683	2017.810959	138039.9427	379	1.492235573	0.189213054	0.004248437	1.570612773	0.165404629	0.002476469	-0.311865799	0.755142515	tie
Calcium levels	Calcium	0	0	5	4	29403010	2018.09863	71701	17	3.449662937	0.783862154	0.047949593	1.785480804	0.409169741	0.048711307	1.882072833	0.059826127	tie
Celiac disease	Celiac	0	0	9	4	22057235	2011.849315	24267.55911	35	1.103631155	0.169241351	0.022717805	1.056332868	0.229776523	0.044202574	0.165739809	0.868361716	tie
Chronic obstructive pulmonary disease	COPD	0.1	-0.1	9	6	30804561	2019.153425	123127.1879	102	1.759084308	0.229545257	0.001558539	1.635149174	0.291326953	0.004951151	0.334152366	0.738264586	tie
Chronotype	Chronotype	0	0	5	4	30696823	2019.079452	449734	425	1.445880538	0.158738081	0.011839436	0.447019768	0.084955055	0.034272132	5.547930464	2.89E-08	discovering
Colorectal cancer	Colorectal cancer	0	0	30	14	31089142	2019.367123	82912.80519	78	2.370222461	0.220469365	1.63E-07	2.325416514	0.216195349	1.62E-07	0.145104793	0.884628134	tie
Depression	Depression	0	0	4	4	30718901	2019.09589	684816.7339	97	0.700245882	0.106545282	0.022376739	0.625406337	0.074931441	0.014053128	0.574557501	0.565590602	tie
Educational attainment (years of education)	Education	0	0	4	3	30038396	2018.558904	1131881	1640	1.637326006	0.093538816	0.036329969	0.562919983	0.033426046	0.037757985	10.81633273	2.88E-27	discovering
Eosinophil counts	Eosinophil	0	0.2	6	3	30595370	2018.989041	440000	703	1.799356869	0.057294719	0.020264258	1.400267574	0.046832604	0.021284112	5.393109616	6.92E-08	discovering
Glaucoma	Glaucoma	0	0.05	7	4	30054594	2018.569863	40529.80535	34	1.484077939	0.159812454	0.01139811	1.676436734	0.082020828	0.002385163	-1.0708529	0.284235577	tie
HDL cholesterol	HDL	0	0	28	5	30275531	2018.750685	297626	158	2.390263778	0.688851077	0.04034846	2.73581835	0.585361942	0.018499798	-0.382262699	0.70226652	tie
Height	Height	0	0	28	6	30595370	2018.989041	458000	2413	1.842645221	0.619200845	0.040906791	1.134904293	0.313538179	0.022363774	1.019715056	0.307863619	tie
Hypothyroidism	Hypothyroid	0	0	5	4	30595370	2018.989041	459000	140	1.204538828	0.183942049	0.022534323	1.179655405	0.232136413	0.036610333	0.084014815	0.933044653	tie
Inflammatory bowel disease	IBD	0	-0.1	7	4	26192919	2015.550685	32372.28905	165	1.686088445	0.356276034	0.041865198	1.161275719	0.20073144	0.02860287	1.283372759	0.199361513	tie
Intraocular pressure	Intraocular	0	0	12	5	29617998	2018.238356	115486	320	2.24578866	0.654460503	0.041492215	0.999145007	0.273909798	0.03554911	1.757152261	0.07889186	tie
LDL cholesterol	LDL	0	0	22	7	30275531	2018.750685	297626	125	1.707018901	0.460229101	0.013868368	2.074657645	0.602993667	0.018423521	-0.484653938	0.627921846	tie
