Trait	n_tot	n_informative	recent_pmid	recent_year	recent_size	recent_nsignif	size_tau	size_se	size_pval	nsignif_tau	nsignif_se	nsignif_pval	taudiff_z	taudiff_p	taudiff_str
Age-related macular degeneration	11	5	23455636	2013.1698630136987	9495.60043274432	19	1.237216055275475	0.09655983129190025	0.0010258440741677797	1.849674918468538	0.12476932443415097	0.0006659466051531858	-3.8819875179174654	0.00010360619660809743	saturating
Alzheimer's disease	19	10	30636644	2019.0328767123287	9244.759496567505	54	3.1475389247378285	1.1491775712515084	0.025490610934332705	2.194374058580639	0.26634645959967757	3.531434710745155e-05	0.8080136394123106	0.4190827304057575	tie
Alzheimer's disease (late onset)	12	6	30617256	2019.0191780821917	67025.4366542422	22	1.6970465541933903	0.3993632295043877	0.013164571477939611	2.4060891259697406	0.5038271474910747	0.008803704881638858	-1.1028650780258666	0.2700857616658985	tie
Amyotrophic lateral sclerosis	12	5	29566793	2018.2191780821918	61743.30847289419	6	2.1920621905788726	0.3316342264364778	0.007050413638946776	4.655084080971478	1.2067253351463405	0.030782153508772954	-1.9681092223078496	0.04905547196485868	saturating
Asthma	21	9	32296059	2020.2876712328766	295550.4496098593	312	1.6739316940990345	0.24885664217565867	0.00027077465392209594	1.649125314283482	0.17058602839267892	2.672658504322121e-05	0.08221914852592166	0.9344724466751999	tie
Asthma (childhood onset)	7	6	31669095	2019.813698630137	51964.39839555754	219	1.0625591828305083	0.14585317834114317	0.0018868068471629498	1.2877128252259804	0.35235481565133386	0.02168345187998764	-0.5904136048455071	0.5549133917382107	tie
Atrial fibrillation	10	6	29892015	2018.4438356164383	232656.1405260205	213	2.396630180774182	0.8145762830164418	0.04229719919620219	1.4699599094826648	0.16108436907677315	0.000800110807732556	1.1159983316550537	0.26442284873905086	tie
Basal cell carcinoma	9	6	31174203	2019.4328767123288	120940.93870730934	71	1.7557016236529557	0.4665332451389652	0.019718560654782537	1.9494528483872013	0.16015791473186985	0.0002614571756770706	-0.39279865030662414	0.6944682016133046	tie
Bipolar disorder	13	10	31043756	2019.331506849315	49367.473680139236	32	2.854622251594595	0.6431295820757584	0.00217186685907104	2.6479448489452504	0.3076524791775575	2.5701528619310258e-05	0.2898995829940254	0.7718930606565455	tie
Birth weight	7	4	31043758	2019.331506849315	321223	213	1.802118375406209	0.06949265460354223	0.0014836921452481514	1.3337059250378833	0.025342584309761464	0.00036086644885986133	6.332514541257745	2.4119754693897735e-10	discovering
Body mass index	38	8	31669095	2019.813698630137	457822	1636	2.612356944924729	0.5336287029845607	0.0027233452440416092	1.286340479457561	0.12610514166838627	5.1713879981202135e-05	2.4182966486845836	0.015593358583270246	discovering
Breast cancer	28	5	29059683	2017.8109589041096	138039.9426741531	379	1.4922355727240155	0.1892130544538266	0.0042484367646782135	1.5706127726079029	0.1654046288380927	0.0024764685394996076	-0.3118657993515801	0.7551425152579132	tie
Calcium levels	5	4	29403010	2018.0986301369862	71701	17	3.449662936823132	0.7838621541087801	0.047949592632624646	1.7854808037128462	0.4091697411658336	0.048711307292093525	1.8820728329816003	0.05982612738889862	tie
Celiac disease	9	4	22057235	2011.849315068493	24267.559108327496	35	1.1036311546730289	0.16924135113800456	0.022717805490230582	1.0563328677135524	0.2297765228166085	0.04420257388140201	0.1657398093598419	0.8683617159596668	tie
Chronic obstructive pulmonary disease	9	6	30804561	2019.1534246575343	123127.18790121446	102	1.7590843083082048	0.22954525661895844	0.0015585388675798959	1.6351491740133368	0.29132695259642205	0.004951151489648265	0.3341523663311653	0.7382645861771135	tie
Chronotype	5	4	30696823	2019.0794520547945	449734	425	1.4458805378161852	0.15873808052181226	0.01183943565255349	0.44701976792899306	0.0849550545295167	0.03427213167277499	5.547930464313233	2.890707910984086e-08	discovering
Colorectal cancer	30	14	31089142	2019.3671232876711	82912.80518893801	78	2.3702224606601914	0.22046936465083916	1.629250492324772e-07	2.325416513718738	0.21619534948898994	1.620500717144159e-07	0.14510479262719403	0.8846281343711667	tie
Depression	4	4	30718901	2019.0958904109589	684816.7338614308	97	0.7002458818978508	0.10654528183449335	0.022376739427781976	0.6254063366953759	0.0749314414286509	0.014053128449935844	0.5745575008630006	0.5655906016141989	tie
Educational attainment (years of education)	4	3	30038396	2018.558904109589	1131881	1640	1.6373260057083538	0.0935388156010835	0.03632996873743999	0.5629199829325839	0.033426046148457574	0.037757985002102264	10.816332734126743	2.8807475825275916e-27	discovering
Eosinophil counts	6	3	30595370	2018.9890410958903	440000	703	1.7993568694196374	0.05729471891451223	0.020264257593742195	1.4002675738432386	0.0468326039304585	0.02128411227694396	5.393109616195134	6.924867812560135e-08	discovering
Glaucoma	7	4	30054594	2018.5698630136985	40529.80534846739	34	1.484077938626918	0.15981245371812722	0.01139810993691254	1.6764367343667474	0.08202082774367293	0.0023851626414585223	-1.0708529000617013	0.28423557661720555	tie
HDL cholesterol	28	5	30275531	2018.7506849315068	297626	158	2.390263777982826	0.6888510773722247	0.040348460373719836	2.735818349737275	0.5853619419933643	0.01849979770077393	-0.38226269860247863	0.7022665197382749	tie
Height	28	6	30595370	2018.9890410958903	458000	2413	1.8426452211780948	0.6192008447981757	0.040906790966548236	1.134904292577179	0.3135381792740106	0.022363774102791046	1.0197150560304344	0.30786361902352144	tie
Hypothyroidism	5	4	30595370	2018.9890410958903	459000	140	1.2045388279042426	0.18394204914599357	0.022534322600073736	1.1796554052015773	0.23213641322576256	0.03661033291365398	0.08401481493625965	0.9330446527978756	tie
Inflammatory bowel disease	7	4	26192919	2015.5506849315068	32372.289045365345	165	1.6860884451646883	0.3562760337502719	0.04186519833578974	1.161275718568665	0.20073143984955724	0.02860287027759733	1.2833727589989952	0.1993615129157742	tie
Intraocular pressure	12	5	29617998	2018.2383561643835	115486	320	2.2457886600976686	0.6544605034115912	0.041492215220116126	0.9991450069600323	0.2739097982964608	0.03554910974759263	1.7571522606740093	0.07889185990704554	tie
LDL cholesterol	22	7	30275531	2018.7506849315068	297626	125	1.7070189007683094	0.46022910113565924	0.013868367860013364	2.0746576449376524	0.6029936666662092	0.018423521309607293	-0.4846539378669765	0.6279218458662501	tie
Lung cancer	13	9	28604730	2017.4465753424658	77094.8574361846	56	1.8337830874164216	0.48443174233880487	0.006843576235429387	1.92647217996443	0.2998713015018149	0.0003588896909541375	-0.1626883443320399	0.8707638245972447	tie
Male-pattern baldness	9	6	30573740	2018.9698630136986	205327	622	1.3829785783347903	0.26273236861986915	0.006238232494635816	1.1226698817256475	0.18485331047681122	0.003713364879002952	0.8103093323654025	0.4177624130157126	tie
Mean corpuscular hemoglobin	12	4	30595370	2018.9890410958903	443000	774	2.0414935025505154	0.24814675224008884	0.01445520419561725	1.498757030568259	0.07280604519071848	0.00235146472481435	2.098692893789779	0.03584398150922785	discovering
Mean platelet volume	10	4	27863252	2016.8794520547945	164454	294	1.2521227217620141	0.16569822407170867	0.017065258025942977	1.3094444541074493	0.20500121433165844	0.023643946075484843	-0.21746282658910843	0.8278476738829299	tie
Menarche (age at onset)	9	5	30595370	2018.9890410958903	242000	316	2.5203630459902797	0.7887825852601006	0.04951126224644216	1.267297112776287	0.3583984085530168	0.03847358627238367	1.4463111038761203	0.14808996271989777	tie
Migraine	6	6	27322543	2016.468493150685	200788.16423598546	44	1.230782314039031	0.2849841410880562	0.012459442839923339	1.2950516533283283	0.17064473409840777	0.0016169832879296727	-0.19348443445016034	0.8465795952410787	tie
