trait	pmid	date_published	size_cases	size_controls	size_other	size_total	size_effective	nsignif
&beta;2-Glycoprotein I (&beta;2-GPI) plasma levels	23279374	2013-01-02	0	0	306	306	306	1
1,5-anhydroglucitol levels	28588231	2017-06-06	0	0	7550	7550	7550	8
17-hydroxyprogesterone (17-OHP) levels	31169883	2019-06-06	0	0	2070	2070	2070	22
3-hydroxy-1-methylpropylmercapturic acid levels in smokers	26053186	2015-06-08	0	0	2284	2284	2284	28
3-hydroxypropylmercapturic acid levels in smokers	26053186	2015-06-08	0	0	2282	2282	2282	32
3-month functional outcome in ischaemic stroke (modified Rankin score)	30582445	2019-01-01	0	0	1225	1225	1225	1
ACPA-positive rheumatoid arthritis (smoking interaction)	26272072	2015-08-13	833	1740	0	2573	2253.2763311309754	8
ADAMTS13 activity	25934476	2015-05-01	0	0	3423	3423	3423	4
ADAMTS13 levels	29296746	2017-06-19	0	0	3238	3238	3238	4
AIDS progression	19115949	2009-01-01	0	1352	361	1713	1713	1
AIDS progression	21502085	2011-05-01	755	0	0	755	755	1
AR-C124910XX levels in individuals with acute coronary syndromes treated with ticagrelor	25935875	2015-05-02	1812	0	0	1812	1812	2
Abdominal aortic aneurysm	20622881	2010-07-11	1292	30503	0	31795	4957.996666142475	2
Abdominal aortic aneurysm	22055160	2011-11-04	1866	5435	0	7301	5556.340227366114	1
Abdominal aortic aneurysm	24046328	2013-09-17	1755	5314	0	7069	5277.165086999576	1
Abdominal aortic aneurysm	27899403	2016-11-29	4972	99858	0	104830	18944.728646379855	9
Abdominal aortic calcification levels	31659325	2019-10-28	0	0	9417	9417	9417	3
Ability to confide in someone	29970889	2018-07-03	64505	238062	0	302567	203012.08406733052	2
Abstraction and mental flexibility	31596458	2019-10-09	623	910	0	1533	1479.2694063926942	1
Accelerometer-based physical activity measurement (average acceleration)	29899525	2018-06-13	0	0	91084	91084	91084	5
Accelerometer-based physical activity measurement (fraction of time with accelerations >425 milli-gravities)	29899525	2018-06-13	0	0	90667	90667	90667	2
Accommodative esotropia	30098192	2018-08-01	224	749	0	973	689.726618705036	1
Acenocoumarol maintenance dosage	19578179	2009-07-04	0	0	1451	1451	1451	2
Acne (severe)	24399259	2014-01-07	1031	1031	0	2062	2062.0	2
Acne (severe)	24927181	2014-06-13	1893	5132	0	7025	5531.601992882563	3
Acne (severe)	30542056	2018-12-12	5602	21120	0	26722	17710.386947084797	17
Activated partial thromboplastin time	20303064	2010-03-18	0	0	1431	1431	1431	3
Activated partial thromboplastin time	22703881	2012-06-14	0	0	9240	9240	9240	8
Activated partial thromboplastin time	29403010	2018-02-05	0	0	37767	37767	37767	12
Acute anterior uveitis (with or without ankylosing spondylitis)	25200001	2014-09-08	238	9564	1199	11001	928.8847174046114	7
Acute anterior uveitis in ankylosing spondylitis	25200001	2014-09-08	1199	1731	0	2930	2833.4047781569966	3
Acute graft versus host disease in bone marrow transplantation (donor effect)	27595289	2016-09-05	0	0	656	656	656	2
Acute graft versus host disease in bone marrow transplantation (recipient effect)	27595289	2016-09-05	0	0	579	579	579	6
Acute insulin response	28490609	2017-05-10	0	0	4765	4765	4765	4
Acute insulin response (insulin secretion adjusted)	28490609	2017-05-10	0	0	4765	4765	4765	1
Acute lymphoblastic leukemia (B-cell precursor)	23996088	2013-08-30	1658	4723	0	6381	4908.781695658988	6
Acute lymphoblastic leukemia (B-cell precursor)	29296818	2017-09-08	446	3027	0	3473	1554.9000863806507	2
Acute lymphoblastic leukemia (adolescents and young adults)	25468567	2014-12-02	308	6661	0	6969	1177.5508681302913	1
Acute lymphoblastic leukemia (childhood)	19684603	2009-08-16	317	17958	0	18275	1246.005143638851	2
Acute lymphoblastic leukemia (childhood)	19684604	2009-08-16	907	2398	0	3305	2632.3582450832073	2
Acute lymphoblastic leukemia (childhood)	22076464	2011-11-11	419	474	0	893	889.6125419932812	14
Acute lymphoblastic leukemia (childhood)	23007406	2012-09-24	0	0	1268	1268	1268	1
Acute lymphoblastic leukemia (childhood)	23512250	2013-03-19	1366	3757	0	5123	4007.0755416747998	3
Acute lymphoblastic leukemia (childhood)	25310577	2014-10-13	358	1192	0	1550	1101.254193548387	2
Acute lymphoblastic leukemia (childhood)	28817678	2017-08-17	0	0	622	622	622	1
Acute lymphoblastic leukemia (childhood)	29348612	2018-01-18	3263	15977	0	19240	10838.451351351352	8
Acute lymphoblastic leukemia in childhood (B cell precursor)	27694927	2016-10-03	1658	7224	0	8882	5394.0067552353075	2
Acute lymphoblastic leukemia in childhood (B cell precursor)	29296818	2017-09-08	134	3027	0	3161	513.2780765580512	1
Acute lymphoblastic leukemia in childhood (B cell precursor)	29632299	2018-04-09	2442	14609	0	17051	8369.05237229488	9
Acute-on-chronic liver failure in hepatitis B	28130311	2017-01-27	389	391	0	780	779.9948717948718	1
Acylcarnitine levels	26068415	2015-06-12	0	0	7478	7478	7478	15
Addiction	23533358	2013-02-28	0	0	3627	3627	3627	3
Adenocarcinoma	26732429	2016-01-04	6877	6277	0	13154	13126.631899042117	3
Adenocarcinoma in never smokers	31009812	2019-04-19	1837	5355	0	7192	5471.15406006674	1
Adiponectin levels	19165155	2009-01-22	997	989	0	1986	1985.9677744209464	1
Adiponectin levels	20011104	2009-12-05	0	0	8531	8531	8531	3
Adiponectin levels	20018283	2009-12-02	0	0	4659	4659	4659	1
Adiponectin levels	20876611	2010-09-27	0	0	1776	1776	1776	3
Adiponectin levels	20887962	2010-10-08	0	0	4001	4001	4001	1
Adiponectin levels	21700879	2011-06-23	0	0	1591	1591	1591	2
Adiponectin levels	21771975	2011-07-19	382	0	0	382	382	1
Adiponectin levels	22065538	2011-11-07	0	0	3310	3310	3310	1
Adiponectin levels	22479202	2012-03-29	0	0	35355	35355	35355	16
Adiponectin levels	24105470	2013-10-14	0	0	7827	7827	7827	5
Adiponectin levels	31178129	2019-06-06	0	0	67739	67739	67739	15
Adiposity	19557161	2009-06-26	0	0	38580	38580	38580	3
Adiposity	21706003	2011-06-26	0	0	36626	36626	36626	2
Adolescent idiopathic scoliosis	25784220	2015-03-18	447	737	0	1184	1112.9695945945946	1
Adolescent idiopathic scoliosis	26211971	2015-07-23	2109	11140	0	13249	7093.1421239338815	4
Adolescent idiopathic scoliosis	26394188	2015-09-22	960	1499	0	2459	2340.8540056933716	4
Adolescent idiopathic scoliosis	28334814	2017-02-28	1456	2104	0	3560	3442.049438202247	7
Adolescent idiopathic scoliosis	30019117	2018-07-17	196	303	0	499	476.0561122244489	837
Adolescent idiopathic scoliosis	30395268	2018-11-01	3798	29678	0	33476	13468.400525749792	7
Adolescent idiopathic scoliosis	31417091	2019-08-15	5327	73884	0	79211	19875.02079256669	37
Adolescent idiopathic scoliosis (severe)	24023777	2013-09-04	554	1474	0	2028	1610.6429980276134	1
Adult asthma	27611488	2016-09-09	1750	9245	0	10995	5885.857207821738	1
Adult asthma	30578877	2018-12-19	16274	38269	0	54543	45673.300405184906	3
Adult asthma	30787307	2019-02-20	7009	7645	0	14654	14626.396888221647	3
Adult hearing difficulty	31564434	2019-09-26	87056	163333	0	250389	227152.4331819689	2
Adult onset asthma and/or BMI	31669095	2019-10-24	33418	393186	31218	457822	123200.81150669006	8
Adult onset asthma and/or waist-to-hip ratio adjusted for BMI	31669095	2019-10-24	33418	393186	31086	457690	123200.81150669006	6
