Trait	pvalue_const	ssr_const	df_const	pvalue_linear	ssr_linear	df_linear	pvalue_quadratic	ssr_quadratic	df_quadratic	fstat_linearConstant	p_value_linearConstant	fstat_quadraticLinear	p_value_quadraticLinear
Age-related macular degeneration	0.01944560643777114	10.488352240363104	4.0	0.0006659466051531858	0.1412424184887023	3.0	0.28809140057119675	0.0696588040345339	2.0	219.773420745455	0.0006659466051531782	2.0552639525272434	0.28809140057116267
Alzheimer's disease	0.020119806872812798	31.117420538270313	9.0	3.531434710745155e-05	3.2807951049866713	8.0	0.5827850786491802	3.1324357876996447	7.0	67.87775412362238	3.5314347107462396e-05	0.3315359967113122	0.5827850786481876
Alzheimer's disease (late onset)	0.043165835024191426	19.724512000876484	5.0	0.008803704881638858	2.9432336552700793	4.0	0.07255951372497807	0.8492138368923737	3.0	22.806586647388016	0.008803704881638175	7.397500113895672	0.07255951372502567
Amyotrophic lateral sclerosis	0.034512651333238165	4.848512354719175	4.0	0.030782153508772954	0.8134538094552926	3.0	0.12397030529591525	0.1891865582201136	2.0	14.881208367439516	0.030782153508775778	6.599488432036069	0.12397030529590569
Asthma	0.006670559006284623	72.41223934470975	8.0	2.672658504322121e-05	5.045704888847102	7.0	0.9947760786529024	5.045665722140183	6.0	93.45884303169919	2.6726585043213014e-05	4.657467506930592e-05	0.9947760786379479
Asthma (childhood onset)	0.029509851926216725	41.51580293026238	5.0	0.02168345187998764	9.568037332022223	4.0	0.16092675678485419	4.461305357620721	3.0	13.356037184895865	0.02168345187998777	3.4340164358027696	0.16092675678487345
Atrial fibrillation	0.038458641970419316	39.12116852829008	5.0	0.000800110807732556	1.793048076805134	4.0	0.7376327807062124	1.7157993400667284	3.0	83.27299403593562	0.000800110807732568	0.13506603295826192	0.7376327807064301
Basal cell carcinoma	0.007579878325264557	19.250578876060736	5.0	0.0002614571756770706	0.5060641055484205	4.0	0.41336213090953305	0.3895375233782715	3.0	148.15921196544005	0.00026145717567704896	0.8974225216577597	0.4133621309091152
Bipolar disorder	0.004535625852315028	21.235748200691887	9.0	2.5701528619310258e-05	2.069777985100214	8.0	0.4225815509013119	1.8754501574812126	7.0	74.07932774843462	2.5701528619359593e-05	0.7253164195842603	0.4225815509017703
Birth weight	0.06340919009060642	27.33251973089677	3.0	0.00036086644885986133	0.01972321930107906	2.0	0.6267722408234527	0.013686152126500917	1.0	2769.6083580129743	0.00036086644885990893	0.4411077064449974	0.6267722408237559
Body mass index	0.0051427775548259875	115.29169853062456	7.0	5.1713879981202135e-05	6.285723457023147	6.0	0.18510393564314864	4.270358091558988	5.0	104.05100620690573	5.171387998115229e-05	2.3597147150818985	0.18510393564321914
Breast cancer	0.01053134954020279	27.823684373810774	4.0	0.0024764685394996076	0.8959387471021658	3.0	0.6521572914625409	0.7875350416742672	2.0	90.16602657426306	0.0024764685394995656	0.27529874784349084	0.652157291462824
Calcium levels	0.18909632670785062	13.149320097076213	3.0	0.048711307292093525	1.24984054945532	2.0	0.02903548455268605	0.002598073093121756	1.0	19.041596230505856	0.04871130729209272	480.0644291587479	0.02903548455268723
Celiac disease	0.044314429042380386	11.70958935333223	3.0	0.04420257388140201	1.0123089905053428	2.0	0.029000652734436756	0.0020992683606053954	1.0	21.13441738275351	0.04420257388140181	481.2199055167054	0.02900065273443686
Chronic obstructive pulmonary disease	0.0658958027687743	33.083232684302416	5.0	0.004951151489648265	3.727361674159363	4.0	0.06506716023040345	1.0049537123660643	3.0	31.503109787985597	0.00495115148964842	8.126965237185875	0.06506716023039061
Chronotype	0.08477704392393136	32.07363480510132	3.0	0.03427213167277499	2.160790652332821	2.0	0.6475160437489387	1.5633576507311306	1.0	27.686943314452197	0.03427213167277576	0.382147361688025	0.6475160437508767
Colorectal cancer	0.00025343118300296985	49.157266734375774	13.0	1.620500717144159e-07	4.619556878588395	12.0	0.9923114863402613	4.619516071319445	11.0	115.6934598525307	1.620500716947859e-07	9.717034241614633e-05	0.9923114863442217
Depression	0.013372509704367827	11.649349656258533	3.0	0.014053128449935844	0.32511897920786403	2.0	0.6665411913618905	0.24378373344528034	1.0	69.66207081876047	0.014053128449936114	0.33363688632178645	0.6665411913608765
