Trait	pvalue_const	ssr_const	df_const	pvalue_linear	ssr_linear	df_linear	pvalue_quadratic	ssr_quadratic	df_quadratic	fstat_linearConstant	p_value_linearConstant	fstat_quadraticLinear	p_value_quadraticLinear
Age-related macular degeneration	0.0005067994076735723	23.54958436588778	4.0	0.0010258440741677797	0.422612108748378	3.0	0.23817530107526289	0.17733781504932816	2.0	164.1716253159405	0.0010258440741678365	2.7661815234480533	0.2381753010751334
Alzheimer's disease	3.972376314059312e-09	27.95831979739151	9.0	0.025490610934332705	14.42838550657033	8.0	0.016620948753958698	6.014020543853563	7.0	7.5018424117708715	0.02549061093433691	9.793873218343888	0.016620948753955922
Alzheimer's disease (late onset)	0.00011822180879068071	41.20602761006367	5.0	0.013164571477939611	7.472562898965346	4.0	0.2724144279921024	4.6720427809891145	3.0	18.057239620301665	0.013164571477939924	1.7982627188507905	0.2724144279922218
Amyotrophic lateral sclerosis	0.00017742097689353727	19.44646492964803	4.0	0.007050413638946776	1.2494916574627613	3.0	0.36139725098677244	0.739932127588205	2.0	43.69050364642613	0.007050413638947206	1.3773142451199032	0.3613972509867195
Asthma	7.435926695414042e-07	75.50041553809622	8.0	0.00027077465392209594	10.115727165037052	7.0	0.9227146339416246	10.098501531225052	6.0	45.245666588689346	0.0002707746539221123	0.010234568223060157	0.9227146339407776
Asthma (childhood onset)	0.00019781427967610577	50.457912613856976	5.0	0.0018868068471629498	3.536370851622163	4.0	0.7430742575265117	3.3903588864224194	3.0	53.07310090593186	0.001886806847162914	0.12920045053444332	0.743074257526948
Atrial fibrillation	9.836272761454135e-06	20.531351994599746	5.0	0.04229719919620219	6.488831858965103	4.0	0.5423551997458669	5.610515262194011	3.0	8.656424108899175	0.04229719919620145	0.46964488414614347	0.5423551997459238
Basal cell carcinoma	2.6625481755900292e-05	29.63703615382295	5.0	0.019718560654782537	6.527126285938395	4.0	0.966816635197894	6.5226918234187545	3.0	14.162379494737833	0.019718560654783612	0.0020395548217005655	0.9668166351956953
Bipolar disorder	6.66776506204385e-10	23.18756169898953	9.0	0.00217186685907104	6.696394828465839	8.0	0.20175435837804767	5.217302697923864	7.0	19.70154662974299	0.0021718668590723356	1.9844823107376695	0.2017543583782231
Birth weight	0.0007570849538779179	15.004080162532851	3.0	0.0014836921452481514	0.044489842650084495	2.0	0.8516125459421806	0.04211619787141181	1.0	672.4946382724218	0.0014836921452481278	0.05635942698151052	0.851612545941422
Body mass index	1.0728673231345253e-07	33.047007668134796	7.0	0.0027233452440416092	6.617008932790472	6.0	0.24322155704600246	4.901957055884658	5.0	23.965509797973155	0.0027233452440419414	1.749354245001946	0.24322155704602988
Breast cancer	0.00037995182743509837	31.269540438745683	4.0	0.0042484367646782135	1.4388387943097851	3.0	0.38406649991733954	0.89298065545119	2.0	62.19745067148909	0.004248436764678454	1.2225531102525244	0.3840664999171677
Calcium levels	0.00010645754082166167	3.516941349235657	3.0	0.047949592632624646	0.32918578706897106	2.0	0.5931933524846007	0.21209617617950974	1.0	19.367516383681455	0.047949592632625215	0.5520590375488964	0.5931933524846262
Celiac disease	0.0008682772535163024	10.260938586169086	3.0	0.022717805490230582	0.46091635697113464	2.0	0.8266803608414566	0.42758900370353026	1.0	42.52408091393332	0.02271780549023039	0.07794249379413877	0.826680360841502
Chronic obstructive pulmonary disease	3.342286088271177e-05	27.09275658625259	5.0	0.0015585388675798959	1.7276658472322075	4.0	0.21645837803587617	0.9533731475479714	3.0	58.726844151387986	0.0015585388675798395	2.4364836633243088	0.21645837803583934
Chronotype	5.106261341756062e-05	2.9281364164263692	3.0	0.01183943565255349	0.06892452193788083	2.0	0.6444717622777698	0.04957218005096345	1.0	82.96646285237617	0.011839435652553298	0.3903871459157517	0.6444717622748805
Colorectal cancer	2.025844475874201e-12	47.32070070336329	13.0	1.629250492324772e-07	4.450929304367944	12.0	0.3047164823094065	4.026663328429825	11.0	115.57974113026202	1.6292504922965634e-07	1.1590056964457343	0.30471648230955795
